File Path,File Name,Dataset Fold,Image Type,Anomaly Type,Pixel Size (µm),Cell Type,Species,Well ID,Thumbnail
https://ftp.ebi.ac.uk/pub/databases/biostudies/S-BIAD/133/S-BIAD2133/Files/test/anomalies/air_bubble/human/raw/01_B1_100.tiff,01_B1_100.tiff,test,raw,air_bubble,0.64,Neutrophils,human,B1,https://raw.githubusercontent.com/MMV-Lab/AMBIOM-BFF-csv-repo/refs/heads/main/S-BIAD2133/thumbnails/test/anomalies/air_bubble/human/raw/01_B1_100.jpg
https://ftp.ebi.ac.uk/pub/databases/biostudies/S-BIAD/133/S-BIAD2133/Files/test/anomalies/air_bubble/human/masks/01_B1_100.tiff,01_B1_100.tiff,test,mask,air_bubble,0.64,Neutrophils,human,B1,https://raw.githubusercontent.com/MMV-Lab/AMBIOM-BFF-csv-repo/refs/heads/main/S-BIAD2133/thumbnails/test/anomalies/air_bubble/human/masks/01_B1_100.jpg
https://ftp.ebi.ac.uk/pub/databases/biostudies/S-BIAD/133/S-BIAD2133/Files/test/anomalies/air_bubble/human/raw/01_B1_400.tiff,01_B1_400.tiff,test,raw,air_bubble,0.64,Neutrophils,human,B1,https://raw.githubusercontent.com/MMV-Lab/AMBIOM-BFF-csv-repo/refs/heads/main/S-BIAD2133/thumbnails/test/anomalies/air_bubble/human/raw/01_B1_400.jpg
https://ftp.ebi.ac.uk/pub/databases/biostudies/S-BIAD/133/S-BIAD2133/Files/test/anomalies/air_bubble/human/masks/01_B1_400.tiff,01_B1_400.tiff,test,mask,air_bubble,0.64,Neutrophils,human,B1,https://raw.githubusercontent.com/MMV-Lab/AMBIOM-BFF-csv-repo/refs/heads/main/S-BIAD2133/thumbnails/test/anomalies/air_bubble/human/masks/01_B1_400.jpg
https://ftp.ebi.ac.uk/pub/databases/biostudies/S-BIAD/133/S-BIAD2133/Files/test/anomalies/air_bubble/human/raw/08_G5_000.tiff,08_G5_000.tiff,test,raw,air_bubble,0.64,Neutrophils,human,G5,https://raw.githubusercontent.com/MMV-Lab/AMBIOM-BFF-csv-repo/refs/heads/main/S-BIAD2133/thumbnails/test/anomalies/air_bubble/human/raw/08_G5_000.jpg
https://ftp.ebi.ac.uk/pub/databases/biostudies/S-BIAD/133/S-BIAD2133/Files/test/anomalies/air_bubble/human/masks/08_G5_000.tiff,08_G5_000.tiff,test,mask,air_bubble,0.64,Neutrophils,human,G5,https://raw.githubusercontent.com/MMV-Lab/AMBIOM-BFF-csv-repo/refs/heads/main/S-BIAD2133/thumbnails/test/anomalies/air_bubble/human/masks/08_G5_000.jpg
https://ftp.ebi.ac.uk/pub/databases/biostudies/S-BIAD/133/S-BIAD2133/Files/test/anomalies/air_bubble/human/raw/08_G5_446.tiff,08_G5_446.tiff,test,raw,air_bubble,0.64,Neutrophils,human,G5,https://raw.githubusercontent.com/MMV-Lab/AMBIOM-BFF-csv-repo/refs/heads/main/S-BIAD2133/thumbnails/test/anomalies/air_bubble/human/raw/08_G5_446.jpg
https://ftp.ebi.ac.uk/pub/databases/biostudies/S-BIAD/133/S-BIAD2133/Files/test/anomalies/air_bubble/human/masks/08_G5_446.tiff,08_G5_446.tiff,test,mask,air_bubble,0.64,Neutrophils,human,G5,https://raw.githubusercontent.com/MMV-Lab/AMBIOM-BFF-csv-repo/refs/heads/main/S-BIAD2133/thumbnails/test/anomalies/air_bubble/human/masks/08_G5_446.jpg
https://ftp.ebi.ac.uk/pub/databases/biostudies/S-BIAD/133/S-BIAD2133/Files/test/anomalies/air_bubble/human/raw/09_H3_300.tiff,09_H3_300.tiff,test,raw,air_bubble,0.64,Neutrophils,human,H3,https://raw.githubusercontent.com/MMV-Lab/AMBIOM-BFF-csv-repo/refs/heads/main/S-BIAD2133/thumbnails/test/anomalies/air_bubble/human/raw/09_H3_300.jpg
https://ftp.ebi.ac.uk/pub/databases/biostudies/S-BIAD/133/S-BIAD2133/Files/test/anomalies/air_bubble/human/masks/09_H3_300.tiff,09_H3_300.tiff,test,mask,air_bubble,0.64,Neutrophils,human,H3,https://raw.githubusercontent.com/MMV-Lab/AMBIOM-BFF-csv-repo/refs/heads/main/S-BIAD2133/thumbnails/test/anomalies/air_bubble/human/masks/09_H3_300.jpg
https://ftp.ebi.ac.uk/pub/databases/biostudies/S-BIAD/133/S-BIAD2133/Files/test/anomalies/air_bubble/human/raw/11_E2_000.tiff,11_E2_000.tiff,test,raw,air_bubble,0.64,Neutrophils,human,E2,https://raw.githubusercontent.com/MMV-Lab/AMBIOM-BFF-csv-repo/refs/heads/main/S-BIAD2133/thumbnails/test/anomalies/air_bubble/human/raw/11_E2_000.jpg
https://ftp.ebi.ac.uk/pub/databases/biostudies/S-BIAD/133/S-BIAD2133/Files/test/anomalies/air_bubble/human/masks/11_E2_000.tiff,11_E2_000.tiff,test,mask,air_bubble,0.64,Neutrophils,human,E2,https://raw.githubusercontent.com/MMV-Lab/AMBIOM-BFF-csv-repo/refs/heads/main/S-BIAD2133/thumbnails/test/anomalies/air_bubble/human/masks/11_E2_000.jpg
