UUID,Figure,Organ,Sample ID,Condition,Brain Region,Brain Hemisphere,Width (px),Height (px),Depth (px),XY Pixel Size (µm),Z Pixel Size (µm),File Path,File Name,File Size,Thumbnail
a84fd0cb-1c1a-4e30-9b18-6d1cb9051dbd,Figure 3,Brain,204,Control,Cortex,L,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/a84fd0cb-1c1a-4e30-9b18-6d1cb9051dbd.ome.zarr,a84fd0cb-1c1a-4e30-9b18-6d1cb9051dbd.ome.zarr,57924166,https://lsfm.isas.de/files/vessel-express/thumbnails/a84fd0cb-1c1a-4e30-9b18-6d1cb9051dbd.jpg
82cce6ed-6c8a-4c8b-a1ae-60d727ad74c9,Figure 3,Brain,204,Control,Striatum,L,500,500,501,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/82cce6ed-6c8a-4c8b-a1ae-60d727ad74c9.ome.zarr,82cce6ed-6c8a-4c8b-a1ae-60d727ad74c9.ome.zarr,264463866,https://lsfm.isas.de/files/vessel-express/thumbnails/82cce6ed-6c8a-4c8b-a1ae-60d727ad74c9.jpg
c95297a2-7a61-4fe4-9ffd-233a7ac67b46,Figure 3,Brain,204,Control,Cortex,R,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/c95297a2-7a61-4fe4-9ffd-233a7ac67b46.ome.zarr,c95297a2-7a61-4fe4-9ffd-233a7ac67b46.ome.zarr,54622508,https://lsfm.isas.de/files/vessel-express/thumbnails/c95297a2-7a61-4fe4-9ffd-233a7ac67b46.jpg
90f1dc5f-da77-41e6-9112-256b451d9152,Figure 3,Brain,204,Control,Hippocampus,R,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/90f1dc5f-da77-41e6-9112-256b451d9152.ome.zarr,90f1dc5f-da77-41e6-9112-256b451d9152.ome.zarr,53779832,https://lsfm.isas.de/files/vessel-express/thumbnails/90f1dc5f-da77-41e6-9112-256b451d9152.jpg
f8d640d9-913f-406a-ac96-027e7afae078,Figure 3,Brain,204,Control,Striatum,R,500,500,501,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/f8d640d9-913f-406a-ac96-027e7afae078.ome.zarr,f8d640d9-913f-406a-ac96-027e7afae078.ome.zarr,247999975,https://lsfm.isas.de/files/vessel-express/thumbnails/f8d640d9-913f-406a-ac96-027e7afae078.jpg
ade5165d-ac36-4a04-981a-dbfe2dbe2928,Figure 3,Brain,218,Control,Cortex,L,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/ade5165d-ac36-4a04-981a-dbfe2dbe2928.ome.zarr,ade5165d-ac36-4a04-981a-dbfe2dbe2928.ome.zarr,49136098,https://lsfm.isas.de/files/vessel-express/thumbnails/ade5165d-ac36-4a04-981a-dbfe2dbe2928.jpg
d182ac80-d8b6-4d89-a216-5da79c77e721,Figure 3,Brain,218,Control,Striatum,L,500,500,501,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/d182ac80-d8b6-4d89-a216-5da79c77e721.ome.zarr,d182ac80-d8b6-4d89-a216-5da79c77e721.ome.zarr,205136060,https://lsfm.isas.de/files/vessel-express/thumbnails/d182ac80-d8b6-4d89-a216-5da79c77e721.jpg
8c86eb60-d1c2-499e-a3f7-61f8750f4035,Figure 3,Brain,218,Control,Striatum,R,500,500,501,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/8c86eb60-d1c2-499e-a3f7-61f8750f4035.ome.zarr,8c86eb60-d1c2-499e-a3f7-61f8750f4035.ome.zarr,196686551,https://lsfm.isas.de/files/vessel-express/thumbnails/8c86eb60-d1c2-499e-a3f7-61f8750f4035.jpg
ed387dc6-52f7-48e2-a81e-714977fa2a6a,Figure 3,Brain,218,Control,Cortex,R,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/ed387dc6-52f7-48e2-a81e-714977fa2a6a.ome.zarr,ed387dc6-52f7-48e2-a81e-714977fa2a6a.ome.zarr,45729578,https://lsfm.isas.de/files/vessel-express/thumbnails/ed387dc6-52f7-48e2-a81e-714977fa2a6a.jpg
cee88ee5-ecee-4060-8fb4-a0add2f4d12a,Figure 3,Brain,608,Control,Hippocampus,L,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/cee88ee5-ecee-4060-8fb4-a0add2f4d12a.ome.zarr,cee88ee5-ecee-4060-8fb4-a0add2f4d12a.ome.zarr,41455570,https://lsfm.isas.de/files/vessel-express/thumbnails/cee88ee5-ecee-4060-8fb4-a0add2f4d12a.jpg
109c2073-73fc-4c1a-af66-dda0edbb277c,Figure 3,Brain,608,Control,Striatum,L,500,500,501,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/109c2073-73fc-4c1a-af66-dda0edbb277c.ome.zarr,109c2073-73fc-4c1a-af66-dda0edbb277c.ome.zarr,193926855,https://lsfm.isas.de/files/vessel-express/thumbnails/109c2073-73fc-4c1a-af66-dda0edbb277c.jpg
99bb5067-e6d4-45ee-9038-7b5008bc471c,Figure 3,Brain,608,Control,Cortex,L,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/99bb5067-e6d4-45ee-9038-7b5008bc471c.ome.zarr,99bb5067-e6d4-45ee-9038-7b5008bc471c.ome.zarr,45246971,https://lsfm.isas.de/files/vessel-express/thumbnails/99bb5067-e6d4-45ee-9038-7b5008bc471c.jpg
